Time (ms)	Distance 1 (um)	Distance 2 (um)	Force Channel 1 (pN)	Force Channel 2 (pN)	Force Channel 3 (pN)	Force Channel 4 (pN)	Force Channel 5 (pN)	Force Channel 6 (pN)	Force Channel 1 STDEV (pN)	Force Channel 2 STDEV (pN)	Force Channel 3 STDEV (pN)	Force Channel 4 STDEV (pN)	Force Channel 5 STDEV (pN)	Force Channel 6 STDEV (pN)	Force Trap 1 (pN)	Force Trap 2 (pN)	Force Trap 3 (pN)	Force Trap 1 STDEV (pN)	Force Trap 2 STDEV (pN)	Force Trap 3 STDEV (pN)	Bead 1 X position (um)	Bead 1 Y position (um)	Bead 2 X position (um)	Bead 2 Y position (um)	Bead 3 X position (um)	Bead 3 Y position (um)	Bead 4 X position (um)	Bead 4 Y position (um)
5.00000000	1.77786544	0.00000000	0.26076547	0.69525028	0.23493419	-0.22412302	-1.69682366	-2.22071666	1.33341734	1.44900321	1.26099664	1.20269467	0.00026636	0.00032671	0.74254399	0.32469247	2.79477960	1.43525172	1.23356168	0.00030585	6.17568886	5.64914183	11.18250443	5.75168031	0.00000000	0.00000000	0.00000000	0.00000000
10.00000000	1.77697660	0.00000000	0.39562155	0.73519082	0.43007272	-0.42284237	-1.69676147	-2.22055837	1.58492605	1.41656729	1.39627314	1.42634516	0.00028488	0.00037900	0.83487840	0.60312372	2.79461606	1.45606810	1.41113433	0.00034729	6.17550829	5.64964899	11.18147984	5.74996627	0.00000000	0.00000000	0.00000000	0.00000000
15.00000000	1.77392143	0.00000000	0.19002202	0.25812435	0.57646052	-0.15795663	-1.69686212	-2.22064671	1.61111139	1.44219314	1.50803261	1.33823135	0.00030675	0.00035171	0.32052542	0.59770982	2.79474737	1.50372623	1.49679974	0.00033584	6.17756706	5.64673355	11.18031845	5.75493809	0.00000000	0.00000000	0.00000000	0.00000000
20.00000000	1.77733524	0.00000000	0.45705392	0.00453119	-0.17220299	0.39486552	-1.69677773	-2.22059690	1.42990520	1.57964213	1.31166674	1.25875989	0.00029787	0.00037678	0.45707638	0.43078144	2.79465655	1.42992069	1.26736250	0.00034977	6.17589679	5.64629033	11.18210499	5.75252434	0.00000000	0.00000000	0.00000000	0.00000000
25.00000000	1.77884278	0.00000000	0.53181710	0.51927346	-0.04227207	-0.51168235	-1.69682317	-2.22066195	1.38713181	1.52775959	1.37552348	1.37878890	0.00029466	0.00039415	0.74328619	0.51342552	2.79473583	1.45746383	1.37876679	0.00036069	6.17494196	5.64632453	11.18268295	5.75137800	0.00000000	0.00000000	0.00000000	0.00000000
30.00000000	1.77853374	0.00000000	0.18929756	0.34161842	0.12075224	-0.73874860	-1.69682029	-2.22068724	1.47550738	1.27942046	1.32959365	1.35517020	0.00033952	0.00042730	0.39055948	0.74855234	2.79475417	1.32808903	1.35451076	0.00039720	6.17372449	5.64800711	11.18122129	5.74991839	0.00000000	0.00000000	0.00000000	0.00000000
35.00000000	1.77735131	0.00000000	0.15702724	0.28412407	0.24784595	-0.38997408	-1.69678387	-2.22063551	1.68964099	1.62109543	1.33512089	1.24857654	0.00033899	0.00043455	0.32462908	0.46206861	2.79469096	1.63739076	1.27407848	0.00040198	6.17528258	5.64733203	11.18155029	5.75149906	0.00000000	0.00000000	0.00000000	0.00000000
40.00000000	1.77541128	0.00000000	0.28010054	0.59316173	-0.02317874	-0.52617967	-1.69682818	-2.22071860	1.39166978	1.41479047	1.49720215	1.35273149	0.00033088	0.00043869	0.65597038	0.52668995	2.79478388	1.41060312	1.35302620	0.00040232	6.17623057	5.64837919	11.18053390	5.75368983	0.00000000	0.00000000	0.00000000	0.00000000
45.00000000	1.77585169	0.00000000	0.18257641	0.47250481	0.09278334	0.05859308	-1.69674892	-2.22052476	1.29183301	1.44035890	1.44295465	1.47617395	0.00034212	0.00046690	0.50655202	0.10973557	2.79458174	1.42194103	1.45250291	0.00042518	6.17622920	5.64670311	11.18100721	5.75037666	0.00000000	0.00000000	0.00000000	0.00000000
50.00000000	1.77289096	0.00000000	0.43193288	0.32910623	-0.02969904	-0.13049373	-1.69683575	-2.22069241	1.37825921	1.35778337	1.42781411	1.54853487	0.00036917	0.00045362	0.54302571	0.13383066	2.79476767	1.37077380	1.54281097	0.00042445	6.17827634	5.64508107	11.18001408	5.75249424	0.00000000	0.00000000	0.00000000	0.00000000
55.00000000	1.77795939	0.00000000	0.16476852	0.35090082	0.40316874	-0.46214553	-1.69678823	-2.22059678	1.45906674	1.38391124	1.53043936	1.35844460	0.00037562	0.00044309	0.38765971	0.61328910	2.79466283	1.39778747	1.43530472	0.00041949	6.17598639	5.64898451	11.18291619	5.75052918	0.00000000	0.00000000	0.00000000	0.00000000
60.00000000	1.77689435	0.00000000	0.38462990	0.50926372	-0.26358569	-0.37522053	-1.69674905	-2.22061939	1.44856285	1.50470028	1.26286238	1.56083518	0.00038203	0.00051229	0.63819252	0.45854974	2.79465701	1.48455496	1.46907902	0.00046850	6.17564372	5.64925537	11.18151746	5.75034519	0.00000000	0.00000000	0.00000000	0.00000000
